GDP (current US$),Year
1.37E+12,1960
1.45E+12,1961
1.55E+12,1962
1.67E+12,1963
1.83E+12,1964
1.99E+12,1965
2.16E+12,1966
2.29E+12,1967
2.48E+12,1968
2.74E+12,1969
3.00E+12,1970
3.32E+12,1971
3.83E+12,1972
4.69E+12,1973
5.42E+12,1974
6.03E+12,1975
6.56E+12,1976
7.41E+12,1977
8.78E+12,1978
1.02E+13,1979
1.14E+13,1980
1.18E+13,1981
1.17E+13,1982
1.20E+13,1983
1.24E+13,1984
1.30E+13,1985
1.53E+13,1986
1.75E+13,1987
1.95E+13,1988
2.04E+13,1989
2.30E+13,1990
2.39E+13,1991
2.55E+13,1992
2.60E+13,1993
2.79E+13,1994
3.11E+13,1995
3.19E+13,1996
3.18E+13,1997
3.17E+13,1998
3.27E+13,1999
3.39E+13,2000
3.36E+13,2001
3.49E+13,2002
3.92E+13,2003
4.42E+13,2004
4.78E+13,2005
5.18E+13,2006
5.84E+13,2007
6.42E+13,2008
6.08E+13,2009
6.66E+13,2010
7.41E+13,2011
7.57E+13,2012
7.79E+13,2013
8.00E+13,2014
7.55E+13,2015
7.67E+13,2016
8.17E+13,2017
8.69E+13,2018
8.81E+13,2019
8.58E+13,2020
9.78E+13,2021
1.02E+14,2022
1.06E+14,2023
