Inflation,Year
12.44243689,1981
10.22172714,1982
8.669271598,1983
8.080320173,1984
6.807566558,1985
5.822666962,1986
5.710119385,1987
7.113406529,1988
6.923905037,1989
8.063460909,1990
8.996938735,1991
7.636108523,1992
7.144587069,1993
10.24793556,1994
9.077380952,1995
6.526095694,1996
5.554129889,1997
5.097291493,1998
3.041946671,1999
3.433515634,2000
3.836572621,2001
2.90799857,2002
3.025045263,2003
3.517999031,2004
4.107250707,2005
4.267174634,2006
4.810237043,2007
8.949953354,2008
2.860448559,2009
3.326344634,2010
4.82239636,2011
3.725326661,2012
2.651673429,2013
2.354490528,2014
1.443857193,2015
1.605539174,2016
2.254276519,2017
2.438736555,2018
2.216775934,2019
1.905663587,2020
3.475403203,2021
7.930929254,2022
5.635668806,2023
