Oil imports,Year
1718000000,1980
1530000000,1981
1385000000,1982
1321000000,1983
1328000000,1984
1249000000,1985
1400000000,1986
1431000000,1987
1511000000,1988
1586000000,1989
1636000000,1990
1619000000,1991
1816000000,1992
1876000000,1993
1905000000,1994
1940000000,1995
2025000000,1996
2144000000,1997
2193000000,1998
2174000000,1999
2288000000,2000
2302000000,2001
2277000000,2002
2390000000,2003
2519000000,2004
2546000000,2005
2553000000,2006
2573000000,2007
2546000000,2008
2436000000,2009
2492000000,2010
2492000000,2011
2527000000,2012
2459000000,2013
2443000000,2014
2557000000,2015
2629000000,2016
2737000000,2017
2760000000,2018
