Oil production,Year
2924000000,1973
2925000000,1974
2762000000,1975
3005000000,1976
3129000000,1977
3151000000,1978
3288000000,1979
3459000000,1980
3246000000,1981
3104000000,1982
3092000000,1983
3165000000,1984
3134000000,1985
3271000000,1986
3290000000,1987
3409000000,1988
3473000000,1989
3513000000,1990
3492000000,1991
3490000000,1992
3494000000,1993
3552000000,1994
3625000000,1995
3706000000,1996
3821000000,1997
3893000000,1998
3831000000,1999
3979000000,2000
3956000000,2001
3908000000,2002
4034000000,2003
4216000000,2004
4290000000,2005
4276000000,2006
4258000000,2007
4315000000,2008
4246000000,2009
4308000000,2010
4348000000,2011
4443000000,2012
4447000000,2013
4555000000,2014
4692000000,2015
4696000000,2016
4716000000,2017
4817000000,2018
4771000000,2019
4413000000,2020
